# All frequencies are in GHz and fluxes in mJy
nu	    	flux		bw			flux_err_sta  	instrument     
#0.843      139         0.100       5         		MOST
#0.8875		170 		0.128 		20          	ASKAP
0.8875		183.2 		0.128 		2.6         	RACS
1.3675		160.5 		0.128 		0.8         	RACS
1.6555		145.0 		0.128 		0.6         	RACS
0.2555  	3.088       0.078       0.85 			uGMRT
0.5735  	144.579     0.05    	15.0 			uGMRT
0.5987  	150.145     0.05    	15.0 			uGMRT
0.6289  	148.318     0.05    	15.0 			uGMRT
0.6566  	148.353     0.05    	15.0 			uGMRT
0.6770  	161.961     0.05    	16.0 			uGMRT
0.7024  	166.099     0.05    	17.0 			uGMRT
#1.1        232         0.100         20        	ATCA
1.2         199         0.100         20        	ATCA
1.4         181         0.100         5         	ATCA
1.5         173         0.100         5         	ATCA
1.6         161         0.100         6         	ATCA
1.7         158         0.100         4         	ATCA
1.8         149         0.100         2         	ATCA
1.9         147         0.100         2         	ATCA
2.0         141.7       0.100         1         	ATCA
2.2         137.9       0.100         1         	ATCA
2.3         135         0.100         1         	ATCA
2.4         132         0.100         1         	ATCA
2.5         129         0.100         2         	ATCA
2.6         126         0.100         1         	ATCA
2.7         122         0.100         3         	ATCA
2.8         121         0.100         3         	ATCA
3.0         119         0.100         3         	ATCA
3.1         114         0.100         1         	ATCA
4.6175  	89.514		0.256		4.5         	ATCA
4.9150  	86.725		0.256		4.3         	ATCA
5.1910  	84.023		0.256		4.2         	ATCA
5.5255  	80.127		0.256		4.0         	ATCA
5.7904  	76.412		0.256		3.8         	ATCA
6.0681  	74.031		0.256		3.7         	ATCA
6.4088  	71.725		0.256		3.6         	ATCA
8.2917  	59.319		0.256		3.0         	ATCA
8.7574  	57.471		0.256		2.9         	ATCA
9.2491  	54.806		0.256		2.8         	ATCA
9.7686  	52.265		0.256		2.6         	ATCA
16.480  	32.511		0.256		1.6         	ATCA
17.542  	30.517		0.256		1.5         	ATCA
18.527  	29.566		0.256		1.5         	ATCA
19.567  	28.195		0.256		1.4         	ATCA
# B3: per spw and average
84.56675  	10.34		0.32		0.21        	ALMA-B3
85.39848  	10.90		0.32		0.21        	ALMA-B3
86.54524  	10.43		0.32		0.21        	ALMA-B3
87.49268  	9.98		0.32		0.21        	ALMA-B3
#86.0297  	10.29		2.0  		0.12        	ALMA-B3
# B6: per spw and average
217.91  	6.2			1.8  		0.9         	ALMA-ACA-B6
219.91  	6.8			1.8  		0.7         	ALMA-ACA-B6
230.99  	7.3			1.8  		0.8         	ALMA-ACA-B6
232.99  	6.2			1.8  		0.9         	ALMA-ACA-B6
#225.49  	6.9			16  		0.5         	ALMA-ACA-B6
# B7: per spw and average
316.67  	6.8			1.8  		1.9        		ALMA-ACA-B7
317.57  	6.0			1.8  		1.4        		ALMA-ACA-B7
329.33  	8.1			1.8  		1.5        		ALMA-ACA-B7
330.58  	8.1			1.8  		1.2        		ALMA-ACA-B7
#323.7   	7.4			16  		0.9        		ALMA-ACA-B7
# Below are higher resolution observations
#225.2 		6.6			16  		0.1        		ALMA-B6
#323.6  	6.5			16  		0.4        		ALMA-B7
#235  		2.0			16 			0.3        		ALMA-B6
#353  		5.8			16  		0.6        		ALMA-B7
